year,month,searches,search string,search string cleaned,active tab,signed in,on campus,results
2015,1,38,stanislav andreski,stanislav andreski,,,,183
2015,1,38,midtøsten,midtøsten,,,,2626
2015,1,36,gifted and talented,gifted and talented,,,,1320
2015,1,36,"greenwood, christopher",greenwood christopher,,,,434
2015,1,36,jonas,jonas,,,,24591
2015,1,36,kim stanley robinson,kim stanley robinson,,,,7620
2015,1,36,lgbt museum,lgbt museum,,,,706
2015,1,36,walter eucken,walter eucken,,,,34
2015,1,36,stephen hawking,stephen hawking,,,,6308
2015,1,36,vegetation / mosaic*,vegetation mosaic,,,,180
2015,1,36,flerkulturell pedagogikk,flerkulturell pedagogikk,,,,475
2015,1,34,category theory,category theory,,,,39016
2015,1,34,diabetes and depression india,diabetes and depression india,,,,184
2015,1,34,diccionario,diccionario,,,,13915
2015,1,34,google scholar,google scholar,,,,92630
2015,1,34,ivar kleiven,ivar kleiven,,,,21
2015,1,34,sverre steen,sverre steen,,,,272
2015,1,34,viskositet,viskositet,,,,67
2015,1,32,bernt lynge,bernt lynge,,,,88
2015,1,32,environmental economics,environmental economics,,,,48408
2015,1,32,franz wieacker,franz wieacker,,,,153
2015,1,32,forskningsmetode,forskningsmetode,,,,514
2015,1,32,russian prisons,russian prisons,,,,589
2015,1,32,sortase a structure active,sortase a structure active,,,,484
2015,1,32,students and psychology,students and psychology,,,,143344
2015,1,32,tankefeltterapi,tankefeltterapi,,,,6
2015,1,32,television broadcasting social aspects,television broadcasting social aspects,,,,112
2015,1,32,united nations,united nations,,,,1265251
2015,1,32,vitenskapsfilosofi,vitenskapsfilosofi,,,,241
2015,1,30,arbeidssosiologi,arbeidssosiologi,,,,213
2015,1,30,cognitive,cognitive,,,,130
2015,1,30,india africa,india africa,,,,36031
2015,1,30,institution of civil engineers,institution of civil engineers,,,,499
2015,1,30,kardemomme by,kardemomme by,,,,15
2015,1,30,nils gilje,nils gilje,,,,200
2015,1,30,når foreldre er psykisk syke,når foreldre er psykisk syke,,,,133
2015,1,28,afrikaans,afrikaans,,,,1951
2015,1,28,food regime,food regime,,,,34825
2015,1,28,hans welzel,hans welzel,,,,87
2015,1,28,helserett,helserett,,,,447
2015,1,28,"kvale, steinar",kvale steinar,,,,46
2015,1,28,media human rights,media human rights,,,,15394
2015,1,28,målselv,målselv,,,,163
2015,1,28,nobels fredspris,nobels fredspris,,,,173
2015,1,28,pirke aboth,pirke aboth,,,,232
2015,1,28,"protein-calorie undernutrition in the nursing home 1989 rudman, d",protein calorie undernutrition in the nursing home 1989 rudman d,,,,83
2015,1,28,rwanda,rwanda,,,,2358
2015,1,28,"""stanislav andreski""",stanislav andreski,,,,185
2015,1,28,steenbuch,steenbuch,,,,72
2015,1,28,the concept of reparations for human rights violations,the concept of reparations for human rights violations,,,,52
2015,1,26,argentina + inequality,argentina inequality,,,,1052
2015,1,26,barnehager,barnehager,,,,1866
2015,1,26,bloch-dano,bloch dano,,,,39
2015,1,26,"citizenship, russia",citizenship russia,,,,1461
2015,1,26,early middle ages,early middle ages,,,,42258
2015,1,26,espen karlsen,espen karlsen,,,,121
2015,1,26,generell patologi,generell patologi,,,,12
2015,1,26,handbook in qualitative inquiry,handbook in qualitative inquiry,,,,3345
2015,1,26,høyreekstremisme,høyreekstremisme,,,,179
2015,1,26,joseph jacobs,joseph jacobs,,,,28232
2015,1,26,livet i antikken,livet i antikken,,,,139
2015,1,26,michael bond,michael bond,,,,190459
2015,1,26,right wing political parties in europe,right wing political parties in europe,,,,1966
2015,1,26,tønnesen hanne hjorth,tønnesen hanne hjorth,,,,57
2015,1,26,tønnesen hanne hjorth / curcumin,tønnesen hanne hjorth curcumin,,,,28
2015,1,26,vegetasjonskartlegging,vegetasjonskartlegging,,,,32
2015,1,26,wisc-iv,wisc iv,,,,2310
2015,1,26,æresdrap,æresdrap,,,,67
2015,1,24,«den nye europeiske internasjonale formueretten,«den nye europeiske internasjonale formueretten,,,,19
2015,1,24,abe constructivism,abe constructivism,,,,180
2015,1,24,astrid lindgren,astrid lindgren,,,,237
2015,1,24,eierskifteforsikring,eierskifteforsikring,,,,11
2015,1,24,erik peterson nichtweiss,erik peterson nichtweiss,,,,65
2015,1,24,etikk: til refleksjon og handling i sosialt arbeid,etikk: til refleksjon og handling i sosialt arbeid,,,,34
2015,1,24,every farm a factory: the industrial ideal in american agricultur,every farm a factory: the industrial ideal in american agricultur,,,,25
2015,1,24,"""gender"" ""nation""",gender nation,,,,18852
2015,1,24,"""giacomo casanova""",giacomo casanova,,,,399
2015,1,24,selskapsrett,selskapsrett,,,,17
2015,1,24,intravenous drugs,intravenous drugs,,,,38881
2015,1,24,"katz, steven t.",katz steven t,,,,37
2015,1,24,koselleck religion,koselleck religion,,,,1276
2015,1,24,samfunnsvitenskapelig metode,samfunnsvitenskapelig metode,,,,635
2015,1,24,straffeprosess,straffeprosess,,,,450
2015,1,24,nicolai v skjerdal,nicolai v skjerdal,,,,5
2015,1,24,norlys,norlys,,,,553
2015,1,24,routledge studies in us foreign policy,routledge studies in us foreign policy,,,,286
2015,1,24,satan,satan,,,,806
2015,1,24,social studies,social studies,,,,127203
2015,1,24,"""walter eucken""",walter eucken,,,,367
2015,1,24,styreansvar,styreansvar,,,,14
2015,1,24,the penal code of italy,the penal code of italy,,,,251
2015,1,24,torture,torture,,,,1637
2015,1,24,trond hegna,trond hegna,,,,41
2015,1,24,vegetation map* / model,vegetation map model,,,,5982
2015,1,24,økonomisk politikk / norge,økonomisk politikk norge,,,,139
2015,1,22,archaeological drawing,archaeological drawing,,,,167
2015,1,22,attføring*,attføring,,,,186
2015,1,22,"""bjørn s. stefansson""",bjørn s stefansson,,,,18
2015,1,22,casanova,casanova,,,,4602
2015,1,22,egypt us foreign policy,egypt us foreign policy,,,,268
2015,1,22,employer branding,employer branding,,,,1154
2015,1,22,fonologi norsk,fonologi norsk,,,,89
2015,1,22,gardner's art through the ages,gardners art through the ages,,,,6999
2015,1,22,historie,historie,,,,2668
2015,1,22,isabel apawo phiri,isabel apawo phiri,,,,65
2015,1,22,jan-olav henriksen,jan olav henriksen,,,,283
2015,1,22,karl olav sandnes,karl olav sandnes,,,,154
2015,1,22,katja franko aas,katja franko aas,,,,61
2015,1,22,kjartan slettemark,kjartan slettemark,,,,34
2015,1,22,medvirkning i arbeidslivet,medvirkning i arbeidslivet,,,,67
2015,1,22,norwegian grammar,norwegian grammar,,,,228
2015,1,22,opphavsrett,opphavsrett,,,,1294
2015,1,22,profesjonelt skjønn,profesjonelt skjønn,,,,92
2015,1,22,shakespeare,shakespeare,,,,9730
2015,1,22,science of law,science of law,,,,76
2015,1,22,"smith, j. a. & osborn, m. (2003). interpretive phenomenological analysis. in smith, j. a. (ed.), qualitative psychology (pp. 51-81.). london: sage publications.",smith j a & osborn m 2003 interpretive phenomenological analysis in smith j a ed qualitative psychology pp 51 81 london: sage publications,,,,238
2015,1,22,stamming,stamming,,,,133
2015,1,22,stemmebruk,stemmebruk,,,,102
2015,1,22,the evolution of culture pitt-rivers,the evolution of culture pitt rivers,,,,842
2015,1,22,the polarization of job opportunities in the us labor market,the polarization of job opportunities in the us labor market,,,,18
2015,1,22,torgersen sven,torgersen sven,,,,64
2015,1,22,tverrfaglig samarbeid fengsel,tverrfaglig samarbeid fengsel,,,,9
2015,1,20,an introduction to the pronciples of morals and legislation,an introduction to the pronciples of morals and legislation,,,,3
2015,1,20,anabole steroider,anabole steroider,,,,44
2015,1,20,angelman syndrom,angelman syndrom,,,,189
2015,1,20,anti,anti,,,,1595572
2015,1,20,case files,case files,,,,33979
2015,1,20,christian interpolation,christian interpolation,,,,93
2015,1,20,det norske arbeiderparti,det norske arbeiderparti,,,,550
2015,1,20,embryologi,embryologi,,,,367
2015,1,20,en svanesang,en svanesang,,,,31
2015,1,20,"eucken, walter",eucken walter,,,,1402
2015,1,20,fashionable diagnosis,fashionable diagnosis,,,,317
2015,1,20,"first world war poetry digital archive, university of oxford",first world war poetry digital archive university of oxford,,,,9516
2015,1,20,forsikringsrett,forsikringsrett,,,,394
2015,1,20,french,french,,,,905234
2015,1,20,fysikk. lærebøker,fysikk lærebøker,,,,326
2015,1,20,gotisk skrift,gotisk skrift,,,,19
2015,1,20,hendrik wagenaar,hendrik wagenaar,,,,306
2015,1,20,jazz toni morrison,jazz toni morrison,,,,957
2015,1,20,jo hov rettergang,jo hov rettergang,,,,7
2015,1,20,jus post bellum,jus post bellum,,,,77
2015,1,20,karin johannisson,karin johannisson,,,,182
2015,1,20,landskap nasjonal identitet,landskap nasjonal identitet,,,,149
2015,1,20,marianne klem,marianne klem,,,,69
2015,1,20,martinez-vergne,martinez vergne,,,,270
2015,1,20,may britt moser,may britt moser,,,,26
2015,1,20,mohammad and the jews,mohammad and the jews,,,,333
2015,1,20,"mohan, viswanathan",mohan viswanathan,,,,268
2015,1,20,mork / heidi,mork heidi,,,,33
2015,1,20,navf utredningsinstitutt,navf utredningsinstitutt,,,,182
2015,1,20,otfried hoffe,otfried hoffe,,,,75
2015,1,20,political extremism,political extremism,,,,7577
2015,1,20,pontocerebellar hypoplasia,pontocerebellar hypoplasia,,,,749
2015,1,20,punk feminism,punk feminism,,,,144
2015,1,20,quinoa farmer,quinoa farmer,,,,370
2015,1,20,rechtsdenken,rechtsdenken,,,,85
2015,1,20,religion and conflict',religion and conflict,,,,13432
2015,1,20,russland,russland,,,,15451
2015,1,20,tanzania historie,tanzania historie,,,,114
2015,1,20,utviklingshemming,utviklingshemming,,,,492
2015,1,20,the london gazette,the london gazette,,,,2232
2015,1,20,thought field therapy,thought field therapy,,,,1371
2015,1,20,ulovlig frihetsberøvelse,ulovlig frihetsberøvelse,,,,45
2015,1,20,vegetation / map* / model,vegetation map model,,,,121
2015,1,20,where rainbows end,where rainbows end,,,,127
2015,1,18,aerodynamikk,aerodynamikk,,,,65
2015,1,18,arctic oil projects,arctic oil projects,,,,167
2015,1,18,arne næss,arne næss,,,,1871
2015,1,18,carl fredrik engelstad,carl fredrik engelstad,,,,139
2015,1,18,fransk,fransk,,,,4538
2015,1,18,fysikk,fysikk,,,,3815
2015,1,18,grensekontroll,grensekontroll,,,,46
2015,1,18,nag hammadi,nag hammadi,,,,2378
2015,1,18,pokemon,pokemon,,,,5028
2015,1,18,richard wilk,richard wilk,,,,5296
2015,1,18,scharffenberg,scharffenberg,,,,57
2015,1,18,seth benardete,seth benardete,,,,313
2015,1,18,syllable method finland,syllable method finland,,,,1030
2015,1,18,"time, consumption and everyday life: practice, materiality and culture",time consumption and everyday life: practice materiality and culture,,,,27
2015,1,18,trysil,trysil,,,,204
2015,1,18,virtual reality,virtual reality,,,,21167
2015,1,18,"""wolfgang waldstein""",wolfgang waldstein,,,,165
2015,1,16,apa- videos,apa videos,,,,97
2015,1,16,dag michalsen,dag michalsen,,,,40
2015,1,16,ekroll,ekroll,,,,69
2015,1,16,european history,european history,,,,91286
2015,1,16,felttoget 1940,felttoget 1940,,,,47
2015,1,16,first world war poetry,first world war poetry,,,,1485
2015,1,16,fonologi,fonologi,,,,1480
2015,1,16,historien om norge,historien om norge,,,,329
2015,1,16,imagining,imagining,,,,1828
2015,1,16,india foreign policy / india external affairs,india foreign policy india external affairs,,,,96
2015,1,16,industriell arkeologi,industriell arkeologi,,,,30
2015,1,16,korpi democratic class struggle,korpi democratic class struggle,,,,502
2015,1,16,lid nils,lid nils,,,,144
2015,1,16,merit goods law,merit goods law,,,,63
2015,1,16,noch einmal 1,noch einmal 1,,,,5
2015,1,16,rygh norske gaard*,rygh norske gaard,,,,62
2015,1,16,satanism,satanism,,,,88
2015,1,16,skolebygg,skolebygg,,,,84
2015,1,16,tetzchner,tetzchner,,,,507
2015,1,16,"""william march""+the bad seed",william marchthe bad seed,,,,27
2015,1,14,"alvesson, mats og sköldberg, kaj",alvesson mats og sköldberg kaj,,,,2
2015,1,14,braun clarke 2006 interview,braun clarke 2006 interview,,,,1312
2015,1,14,danmark besat. krig og hverdag 1940 45,danmark besat krig og hverdag 1940 45,,,,8
2015,1,14,dedovshchina,dedovshchina,,,,134
2015,1,14,domenenavn,domenenavn,,,,18
2015,1,14,due process rights,due process rights,,,,9143
2015,1,14,frazer / golden,frazer golden,,,,18
2015,1,14,fukuyama,fukuyama,,,,51725
2015,1,14,"hansen, a",hansen a,,,,6030
2015,1,14,integral theory aqal,integral theory aqal,,,,54
2015,1,14,jens thiis,jens thiis,,,,147
2015,1,14,"john sommers-flanagan & rita sommers-flanagan (2012). clinical interviewing. fourth edition. hoboken, new jersey: john wiley & sons.",john sommers flanagan & rita sommers flanagan 2012 clinical interviewing fourth edition hoboken new jersey: john wiley & sons,,,,2
2015,1,14,katja franco,katja franco,,,,561
2015,1,14,leo swane,leo swane,,,,34
2015,1,14,lorentz dietrichson kunsthistorie,lorentz dietrichson kunsthistorie,,,,34
2015,1,14,math,math,,,,1256921
2015,1,14,"nation and citizen in the dominican republic, 1880-1916, martinez-vergne",nation and citizen in the dominican republic 1880 1916 martinez vergne,,,,53
2015,1,14,norske væremåter,norske væremåter,,,,30
2015,1,14,nursing research,nursing research,,,,144574
2015,1,14,paul bowles,paul bowles,,,,12686
2015,1,14,religion and peace',religion and peace,,,,8315
2015,1,14,schengen,schengen,,,,3121
2015,1,14,hans petter graver,hans petter graver,,,,281
2015,1,14,seaweed,seaweed,,,,11362
2015,1,14,sextus empiricus,sextus empiricus,,,,573
2015,1,14,skatt gevinst bolig,skatt gevinst bolig,,,,42
2015,1,14,sopranos ending,sopranos ending,,,,51
2015,1,14,stratégies d'apprentissage,stratégies dapprentissage,,,,3469
2015,1,14,the concept of remedies for human rights violations,the concept of remedies for human rights violations,,,,58
2015,1,14,ulrich beck,ulrich beck,,,,13580
2015,1,14,universitetet i bergen,universitetet i bergen,,,,199
2015,1,14,psykologi,psykologi,,,,27342
2015,1,12,a handbook of media and communication research,a handbook of media and communication research,,,,163
2015,1,12,actor network theory + music,actor network theory music,,,,105
2015,1,12,ahmet şeyhun 1958-,ahmet şeyhun 1958,,,,1
2015,1,12,alan lomax,alan lomax,,,,869
2015,1,12,apa psychotherapy videos,apa psychotherapy videos,,,,13
2015,1,12,basics of computer networking,basics of computer networking,,,,182
2015,1,12,"bibby, milestone, patterson",bibby milestone patterson,,,,39
2015,1,12,cimicifuga,cimicifuga,,,,711
2015,1,12,claus wilhelm canaris,claus wilhelm canaris,,,,43
2015,1,12,cooper stress cary,cooper stress cary,,,,2098
2015,1,12,differensiering,differensiering,,,,208
2015,1,12,endringsledelse,endringsledelse,,,,609
2015,1,12,"erasmus, desiderius",erasmus desiderius,,,,514
2015,1,12,europe history,europe history,,,,37670
2015,1,12,"""fiqh""",fiqh,,,,27
2015,1,12,"hamilton, l. k. / towards an understanding of immigration as a defining feature of the twenty-first century",hamilton l k towards an understanding of immigration as a defining feature of the twenty first century,,,,85
2015,1,12,india / foreign relations,india foreign relations,,,,2021
2015,1,12,intervju,intervju,,,,5583
2015,1,12,jacobsen og thorsvik,jacobsen og thorsvik,,,,17
2015,1,12,jerry muller,jerry muller,,,,75
2015,1,12,jiri havran,jiri havran,,,,75
2015,1,12,judges against justice,judges against justice,,,,780
2015,1,12,"kirkevold, m., brodtkorb, k. & ranhoff, a. h. (2008). geriatrisk sykepleie: god omsorg til den gamle pasienten",kirkevold m brodtkorb k & ranhoff a h 2008 geriatrisk sykepleie: god omsorg til den gamle pasienten,,,,2
2015,1,12,"kjønstad, asbjørn og aslak syse",kjønstad asbjørn og aslak syse,,,,19
2015,1,12,marianne lind,marianne lind,,,,14
2015,1,12,scandinavian politics today,scandinavian politics today,,,,59
2015,1,12,new testament theology / philip esler,new testament theology philip esler,,,,0
2015,1,12,norms / transnational corporations,norms transnational corporations,,,,1165
2015,1,12,norsk språk,norsk språk,,,,5799
2015,1,12,quisling,quisling,,,,3116
2015,1,12,radiation research august 1966 k.g. zimmer,radiation research august 1966 kg zimmer,,,,61
2015,1,12,sollied,sollied,,,,62
2015,1,12,diabetes,diabetes,,,,203062
2015,1,12,ståle wikshåland,ståle wikshåland,,,,44
2015,1,12,the enduring vision,the enduring vision,,,,958
2015,1,12,the future of governance,the future of governance,,,,21378
2015,1,12,the jew accused,the jew accused,,,,276
2015,1,12,"""the wasp factory""",the wasp factory,,,,13
2015,1,12,tolstoj,tolstoj,,,,732
2015,1,12,uttale,uttale,,,,273
2015,1,12,viscosity,viscosity,,,,204931
2015,1,12,we have always lived in the castle,we have always lived in the castle,,,,99
2015,1,10,agder 1963,agder 1963,,,,109
2015,1,10,bellah civil religion in america,bellah civil religion in america,,,,706
2015,1,10,blind spots,blind spots,,,,16035
2015,1,10,communication research,communication research,,,,668517
2015,1,10,economics,economics,,,,1292097
2015,1,10,"forskningsetiske retningslinjer for samfunnsvitenskap, jus og humaniora",forskningsetiske retningslinjer for samfunnsvitenskap jus og humaniora,,,,7
2015,1,10,john hawkes lime twig,john hawkes lime twig,,,,55
2015,1,10,c++,c,,,,24733
2015,1,10,learning by doing,learning by doing,,,,22708
2015,1,10,learning by doing a guide to teaching and learning methods,learning by doing a guide to teaching and learning methods,,,,89
2015,1,10,louis calvet,louis calvet,,,,1470
2015,1,10,marianne neerland soleim,marianne neerland soleim,,,,11
2015,1,10,norsk-russisk,norsk russisk,,,,76
2015,1,10,oecd,oecd,,,,274077
2015,1,10,per fugelli,per fugelli,,,,263
2015,1,10,playing and reality,playing and reality,,,,4
2015,1,10,rechts- und staatsphilosophie,rechts und staatsphilosophie,,,,40
2015,1,10,roger babson,roger babson,,,,168
2015,1,10,rural trust climate change,rural trust climate change,,,,77
2015,1,10,studies in german idealism,studies in german idealism,,,,41
2015,1,10,særdomstol,særdomstol,,,,31
2015,1,10,the impact of international influence on microbanks’ performance:,the impact of international influence on microbanks’ performance:,,,,6
2015,1,10,thomas piketty,thomas piketty,,,,573
2015,1,10,violence literature,violence literature,,,,33809
2015,1,10,vurdering,vurdering,,,,5138
2015,1,10,øystein anmarkrud,øystein anmarkrud,,,,2
2015,2,28,gustaf wingren,gustaf wingren,,,,181
2015,2,4,archaeology,archaeology,,,,3578
2015,2,2,scandinavian literature,scandinavian literature,,,,12155
2015,2,2,vocation,vocation,,,,6494
2015,2,2,"vocation,wingren",vocationwingren,,,,1
2015,2,2,"wingren,gustaf",wingrengustaf,,,,59
2015,2,2,"wingren,gustaf og kallelse",wingrengustaf og kallelse,,,,1
2015,2,2,"wingren,vocation",wingrenvocation,,,,0
2015,3,350,direktekrav,direktekrav,,2,,
2015,3,212,dental caries,dental caries,,96,,
2015,3,160,dental caries fejerskov,dental caries fejerskov,,10,,
2015,3,146,direkte krav,direkte krav,,0,,
2015,3,138,"direktekrav* or ""direkte krav""",direktekrav or direkte krav,,0,,
2015,3,116,avtalerett,avtalerett,,0,,
2015,3,112,avtale* ugyldig*,avtale ugyldig,,0,,
2015,3,106,atekst,atekst,,0,,
2015,3,98,cessio legis,cessio legis,,0,,
2015,3,96,diskrimineringsvern*,diskrimineringsvern,,0,,
2015,3,88,medical genetics,medical genetics,,0,,
2015,3,86,krimmigrasjon,krimmigrasjon,,22,,
2015,3,84,subrogasjon,subrogasjon,,0,,
2015,3,80,nasjonalisme,nasjonalisme,,0,,
2015,3,80,konsumpsjon* åndsverk*,konsumpsjon åndsverk,,0,,
2015,3,76,medisinsk mikrobiologi,medisinsk mikrobiologi,,10,,
2015,3,72,tilpasset opplæring,tilpasset opplæring,,6,,
2015,3,72,konsumpsjonsregelen,konsumpsjonsregelen,,0,,
2015,3,70,jobb kunnskapsbasert,jobb kunnskapsbasert,,6,,
2015,3,68,konsumpsjon*,konsumpsjon,,0,,
2015,3,68,bustadoppføringslova lasse simonsen,bustadoppføringslova lasse simonsen,,8,,
2015,3,62,exphil,exphil,,8,,
2015,3,62,konsumpsjon,konsumpsjon,,0,,
2015,3,60,det kvalitative forskningsintervju,det kvalitative forskningsintervju,,12,,
2015,3,58,"wiggen, geirr",wiggen geirr,,0,,
2015,3,56,en folkefiende,en folkefiende,,0,,
2015,3,54,direktekrav*,direktekrav,,2,,
2015,3,54,emk diskrimineringsvern,emk diskrimineringsvern,,0,,
2015,3,52,menneskets fysiologi,menneskets fysiologi,,6,,
2015,3,52,"""direkte krav""",direkte krav,,0,,
2015,3,52,cloud computing law,cloud computing law,,8,,
2015,3,50,co-orientation model / media,co orientation model media,,0,,
2015,3,50,"direktekrav* and ""direkte krav""",direktekrav and direkte krav,,0,,
2015,3,50,northanger abbey,northanger abbey,,4,,
2015,3,48,avtale* 36,avtale 36,,0,,
2015,3,48,kunst og kultur,kunst og kultur,,0,,
2015,3,44,rønnaug eliassen,rønnaug eliassen,,0,,
2015,3,42,"""direktekrav"" or ""direkte krav""",direktekrav or direkte krav,,0,,
2015,3,42,norsk grammatikk,norsk grammatikk,,6,,
2015,3,42,veiledning i pedagogisk arbeid,veiledning i pedagogisk arbeid,,22,,
2015,3,40,diskriminering*,diskriminering,,0,,
2015,3,40,erstatningsrett,erstatningsrett,,0,,
2015,3,38,pubmed,pubmed,,0,,
2015,3,38,rettsdata,rettsdata,,0,,
2015,3,36,hello,hello,,0,,
2015,3,34,intervjuguide,intervjuguide,,0,,
2015,3,34,kinship or slektskap,kinship or slektskap,,0,,
2015,3,34,foreldre og fagfolk,foreldre og fagfolk,,22,,
2015,3,34,samfunnsvitenskapelig metode,samfunnsvitenskapelig metode,,10,,
2015,3,32,ordnett,ordnett,,0,,
2015,3,32,cancer cervix,cancer cervix,,0,,
2015,3,32,danske kalkmalerier,danske kalkmalerier,,0,,
2015,3,32,innføring i politivitenskap,innføring i politivitenskap,,24,,
2015,3,32,mantle dynamics,mantle dynamics,,0,,
2015,3,32,gyldendal rettsdata,gyldendal rettsdata,,0,,
2015,3,32,"""obesity"" ""children"" ""prevention""",obesity children prevention,,22,,
2015,3,32,the only ekg,the only ekg,,0,,
2015,3,30,kvalitativ metode,kvalitativ metode,,0,,
2015,3,30,lov og rett,lov og rett,,4,,
2015,3,30,bruk og stell av planter i grøntanlegg,bruk og stell av planter i grøntanlegg,,0,,
2015,3,30,jenny,jenny,,0,,
2015,3,30,museum?,museum,,24,,
2015,3,30,straffeprosess,straffeprosess,,14,,
2015,3,30,northanger abbey gothic,northanger abbey gothic,,16,,
2015,3,30,torsk,torsk,,0,,
2015,3,28,spesialpedagogikk,spesialpedagogikk,,14,,
2015,3,28,introduksjon til samfunnsvitenskapene,introduksjon til samfunnsvitenskapene,,12,,
2015,3,28,web of science,web of science,,0,,
2015,3,28,fast eiendoms rettsforhold,fast eiendoms rettsforhold,,0,,
2015,3,28,interpretative phenomenological analysis,interpretative phenomenological analysis,,0,,
2015,3,28,medical terminology for dummies,medical terminology for dummies,,0,,
2015,3,28,norway culture,norway culture,,0,,
2015,3,28,technology transfer,technology transfer,,0,,
2015,3,28,"torka, lotte",torka lotte,,2,,
2015,3,26,bonytt,bonytt,,18,,
2015,3,26,didaktisk relasjonsmodell,didaktisk relasjonsmodell,,0,,
2015,3,26,hikikomori,hikikomori,,0,,
2015,3,26,ideanalyse,ideanalyse,,0,,
2015,3,26,immunologi,immunologi,,2,,
2015,3,26,magnus zetterholm,magnus zetterholm,,0,,
2015,3,26,judith butler,judith butler,,0,,
2015,3,26,norsk innvandringshistorie,norsk innvandringshistorie,,0,,
2015,3,26,norsk utdanningshistorie,norsk utdanningshistorie,,2,,
2015,3,26,antonovsky,antonovsky,,16,,
2015,3,26,villette,villette,,0,,
2015,3,24,a real marriage?,a real marriage,,2,,
2015,3,24,aksessorisk diskrimineringsvern,aksessorisk diskrimineringsvern,,0,,
2015,3,24,belief law and politics,belief law and politics,,0,,
2015,3,24,beslutningsteori,beslutningsteori,,8,,
2015,3,24,diskriminering* menneskerett*,diskriminering menneskerett,,0,,
2015,3,24,diskriminering* menneskerett* aksessorisk*,diskriminering menneskerett aksessorisk,,0,,
2015,3,24,esperanto,esperanto,,0,,
2015,3,24,diskursanalyse,diskursanalyse,,12,,
2015,3,24,geriatri wyller,geriatri wyller,,12,,
2015,3,24,"gerring, john",gerring john,,0,,
2015,3,24,barnekonvensjonen,barnekonvensjonen,,4,,
2015,3,24,ibsen,ibsen,,4,,
2015,3,24,klafki,klafki,,0,,
2015,3,24,qualitative research,qualitative research,,0,,
2015,3,24,philosophical dictionary,philosophical dictionary,,0,,
2015,3,24,pinsebevegelsen,pinsebevegelsen,,10,,
2015,3,24,primary secondary qualities,primary secondary qualities,,0,,
2015,3,24,revmatologi,revmatologi,,0,,
2015,3,24,"rylands / the marmosets, genus callithrix",rylands the marmosets genus callithrix,,0,,
2015,3,24,selvregulert læring,selvregulert læring,,0,,
2015,3,24,tilpasset opplæring intensjoner og skoleutvikling,tilpasset opplæring intensjoner og skoleutvikling,,8,,
2015,3,24,turid myhr,turid myhr,,0,,
2015,3,24,kan læring planlegges,kan læring planlegges,,2,,
2015,3,24,ulrich beck,ulrich beck,,0,,
2015,3,22,991756088,991756088,,8,,
2015,3,22,anglicismos / españa / español,anglicismos españa español,,6,,
2015,3,22,antibiotic,antibiotic,,0,,
2015,3,22,historisk tidsskrift,historisk tidsskrift,,2,,
2015,3,22,harry potter,harry potter,,4,,
2015,3,22,"""dental caries""",dental caries,,0,,
2015,3,22,"chromatography: basic principles, sample preparations and related methods",chromatography: basic principles sample preparations and related methods,,0,,
2015,3,22,colonic neoplasm?,colonic neoplasm,,20,,
2015,3,22,comparative / law,comparative law,,0,,
2015,3,22,david hume,david hume,,2,,
